PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
William H (Billy) Markward Memorial Playground,6,0,0,0,0,81,26,105.5478037,13674.97914,20,0.001462525,14,0.001023768,0,0.283331898,0.336366077,0.380302025,0.556172963,0.354950672,1.070823729,-0.124137669,0.038300472,0.500727749,0.212755314,-0.207576396
Schuylkill Banks,0,0,0,0,0,918,179,139.1836831,59558.91051,86,0.001443949,90,0.001511109,0.047880958,0.389424738,0.138776621,0.423917683,-0.016942178,0.774810832,-0.024756635,0.536710494,-0.134263354,-0.110570985,-0.079822661,0.561685379
Schuylkill River Park,7,0,0,0,0,89,54,175.7743672,29651.34217,32,0.001079209,21,0.000708231,0,0.444225611,0.242005196,0.313769193,0.016217292,0.576185755,0.12125791,0.425120562,-0.130808169,-0.017235642,0.092464321,0.260481091
Frankford Boat Launch,0,0,0,0,0,0,0,0,46011.8877,0,0,0,0,0,0.237362088,0.368655449,0.393982463,0.012114035,0.06979632,-0.234194583,0.387114382,0.06630605,0.058395873,-0.104967772,-0.242091334
Wissahickon Valley Park,11,2,3,1,1,727,524,62.071106,8353228.274,437,5.23E-05,59,7.06314E-06,0.005665288,0.88135041,0.068978825,0.044005477,-0.075060514,0.607545867,-0.113493359,0.34852002,-0.026942693,-0.120482009,-0.074243653,0.475487197
Pennypack Park,4,3,2,1,0,423,620,104.3679189,5533754.141,847,0.000153061,653,0.000118003,0.007456343,0.900464414,0.056477802,0.035601441,0.040316826,0.492627781,-0.07218073,0.230314219,-0.124399105,0.137077153,-0.142080904,0.270368198
East Fairmount Park,10,2,2,1,1,876,523,164.7833779,2629184.326,755,0.000287161,333,0.000126655,0.056490645,0.477842168,0.238027372,0.227639815,-0.073488794,0.079635215,-0.12640802,0.058102592,-0.129770445,-0.107144366,-0.154639081,0.196771481
Tacony Creek Park,8,0,0,0,0,430,727,308.6694114,1281800.723,1376,0.00107349,278,0.000216882,0.00857491,0.647472127,0.253906833,0.090046131,0.234022372,0.425466022,-0.166458026,0.062756152,-0.226935101,0.145542825,-0.259431716,0.124348761
Franklin Delano Roosevelt Park,6,3,3,0,0,140,89,83.72512214,1410755.861,61,4.32E-05,16,1.13414E-05,0.065897982,0.379711078,0.430609444,0.123781496,-0.046694392,0.32332879,0.071866111,0.51204642,0.057496331,0.028067641,0.070701859,0.125172878
Hunting Park,8,1,2,0,1,295,307,503.9582332,309452.1387,1021,0.003299379,433,0.001399247,0.000173041,0.303419386,0.503679418,0.192728155,0.195812655,0.109749651,-0.001158365,-0.183683588,-0.053485348,0.142352448,-0.065818012,-0.187785092
Awbury Park and Recreation Center,6,0,0,0,0,50,108,255.6761308,112984.5363,225,0.001991423,181,0.001601989,0.001576319,0.486019442,0.361226598,0.151177641,-0.007582949,0.147438951,0.304588014,-0.066643225,-0.154562104,0.204803367,0.030084602,-0.037942525
Fisher Park,4,0,0,0,0,69,124,312.8154551,99141.45472,320,0.003227711,110,0.001109526,0.000328403,0.755285536,0.175593396,0.068792666,0.300468807,0.327544309,0.264913499,0.02422017,-0.301405904,0.743519776,-0.061629778,-0.174830465
Sedgley Woods Disc Golf Course,0,1,0,0,0,34,9,21.38854016,123243.9459,3,2.43E-05,3,2.4342E-05,0,0.78498041,0.211938663,0.003080927,-0.034742905,-0.144895525,-0.109331835,-0.783165233,-0.077171869,-0.184979363,0.00339735,-0.254546411
Al Pearlman Sports Center,1,0,0,0,0,14,8,30.57343488,28416.59136,7,0.000246335,0,0,0.000221835,0.177275763,0.59569883,0.226803571,-0.143049669,0.595954818,0.355471259,-0.266809846,0.331345567,0.335112448,-0.164425879,0.145873379
Chamounix Tennis Courts,1,1,1,0,0,12,3,9.435558057,16865.8578,0,0,0,0,0,0.388892996,0.320087239,0.291019764,0.323630575,0.600773337,2.034564911,0.350070528,-0.262375575,0.566123958,-0.183239339,-0.324176081
Smith Memorial Playground and Playhouse,3,0,1,0,0,0,4,17.20451689,18571.35211,2,0.000107693,1,5.38464E-05,0,0.620396896,0.167110564,0.21249254,0.010712449,-0.235414965,0.670252162,-0.232877258,0.068507603,0.064053826,0.148868715,-0.306210983
Fox Chase School Playground,3,0,0,0,0,8,27,128.3025141,6931.852451,22,0.003173755,14,0.002019662,0,0.000389723,0.119784953,0.879825324,0.169778775,0.546780752,0.983540119,-0.177212137,-0.022788165,0.827757547,-0.065695476,-0.465210785
Wissahickon Environmental Center,0,2,0,0,0,0,0,0,10288.00511,0,0,0,0,0,0.955539246,0.038427612,0.006033142,0.046192255,0.332708004,-0.185497476,0.90377594,0.368156593,-0.344310905,-0.069004852,-0.317178231
Ford Road Playground,2,0,0,0,0,8,11,56.84663479,6456.884877,42,0.006504685,7,0.001084114,0,0.603886141,0.300870144,0.095243715,0.335118701,-0.171035077,0.516938794,0.188424312,-0.323193237,-0.119866763,-0.136814556,-0.014743591
Verree and Susquehanna Playground,3,0,0,0,0,5,13,47.47474823,15591.02551,13,0.000833813,0,0,0,0.315652672,0.566711246,0.117636082,0.051470679,-0.067078421,1.035942776,-0.163519413,-0.118596089,0.628677788,0.366018502,-0.172051249
Jose Manuel Collazo Park,2,0,0,0,0,77,175,926.3134979,6228.646586,470,0.075457805,577,0.092636497,0,0.070448226,0.004304304,0.92524747,-0.043461632,-0.007242568,0.68528891,-0.302889252,-0.405909186,0.750545133,0.027884891,-0.134413905
Hunting Park Recreation Center,3,0,0,0,0,27,10,40.52633488,21715.97657,54,0.002486648,11,0.00050654,0,0.05247527,0.632532753,0.314991977,0.222205085,0.556150749,0.118901529,-0.148853033,0.036539471,0.169717328,-0.195741083,-0.617445491
Belmont Plateau,1,0,0,0,0,149,16,33.0509658,190102.8135,13,6.84E-05,4,2.10412E-05,0,0.173684218,0.719317981,0.106997801,-0.017179545,-0.124868891,-0.199089351,-0.104452011,-0.195732113,-0.104082778,-0.120718024,0.801879823
Edgley Fields,1,0,0,0,0,5,14,35.66944805,114147.9902,12,0.000105127,3,2.62817E-05,0.001171274,0.091672543,0.825978378,0.081177804,-0.256680214,1.739227446,-0.316053487,0.157351586,-0.294950247,-0.203345154,0.415042438,0.152389024
Dairy Fields,1,0,1,0,0,87,4,12.42129792,59844.57204,2,3.34E-05,1,1.671E-05,0,0.171006054,0.705354972,0.123638973,-0.162286832,0.525519078,-0.197710676,-0.235703906,-0.255148303,-0.211486429,-0.253417999,-0.256468781
Salvatore Pachella Memorial Field,1,0,1,0,0,11,5,17.75216299,38406.92236,2,5.21E-05,0,0,0.000546504,0.245768199,0.644330334,0.109354963,-0.143671215,0.853969053,0.688438492,-0.177488868,0.989725475,0.349273967,0.255507427,-0.177379048
Dell Music Center,0,1,0,0,0,34,29,89.93075062,34523.73457,70,0.002027591,16,0.000463449,0,0.344433542,0.180388427,0.475178031,0.049683736,-0.628486256,-0.161058527,-0.199539276,-0.04599023,-0.175328652,-0.243157654,-0.194394729
Cobbs Creek Golf Club,1,0,2,1,0,53,105,139.8787113,1311706.429,198,0.000150948,81,6.17516E-05,0.000413158,0.503092678,0.467684782,0.028809382,0.027203284,-0.288371857,0.095524974,-0.038640264,0.380682773,0.128831931,-0.282194429,-0.187165646
Pennypack on the Delaware,3,0,1,0,0,296,69,40.9789676,730457.3339,436,0.000596886,855,0.0011705,0.256136722,0.278880556,0.373540524,0.091442198,-0.06380576,0.663111298,0.076358482,0.69080603,0.120011406,0.241824813,-0.09063558,0.531672792
Fox Chase Farm,0,1,0,1,0,8,3,10.10382523,485617.6539,3,6.18E-06,0,0,4.39E-07,0.432866778,0.529574716,0.037558067,-0.281148549,-0.375043894,-0.302019576,0.052441394,0.442278492,-0.08565799,-0.140825245,-0.048540228
Morris Park,4,1,0,0,1,93,136,160.0857859,515993.7679,302,0.000585278,167,0.000323647,0.000277508,0.904566868,0.078756194,0.016399429,0.136463021,0.431067223,-0.002719743,0.136831542,-0.175893176,0.167087966,-0.090542207,0.373316964
Juniata Golf Club,1,0,0,0,0,59,116,162.0002319,372027.7213,188,0.000505339,29,7.79512E-05,0.007521264,0.40673199,0.515015435,0.070731311,-0.040748721,-0.160120357,-0.102561621,-0.274262264,-0.077210709,0.027279004,-0.083076014,-0.253297193
Walnut Lane Golf Club,1,0,0,0,0,111,35,43.66082476,272254.5752,26,9.55E-05,6,2.20382E-05,0.001192056,0.467799099,0.428387468,0.102621378,-0.014486174,-0.111836446,-0.007599029,-0.191850784,0.172543097,0.08468982,-0.129845907,-0.240838665
John F Byrne Golf Club,1,0,0,0,0,33,66,88.92739302,347009.3623,38,0.000109507,5,1.44088E-05,0.002866995,0.366883678,0.583264114,0.046985214,-0.068747841,-0.27585706,0.523718033,-0.093742657,-0.027714244,0.240670457,-0.207553897,-0.277807088
Philadelphia Zoo,0,2,1,0,1,353,78,109.4207509,222700.7034,210,0.00094297,63,0.000282891,0.005295902,0.530994634,0.02314519,0.440564274,-0.099978369,-0.197195381,-0.251231926,-0.10828514,0.115296254,-0.041584992,0.110695918,-0.208748361
Manatawna Farm,0,1,0,1,0,0,1,2.775134401,261127.6481,0,0,0,0,0.000840925,0.258448743,0.676524613,0.064185719,-0.170141118,-0.478421222,-0.188443977,-0.290397486,-0.293646174,-0.151809508,-0.159764568,-0.491636341
Wisters Woods Park,1,0,0,0,0,94,112,148.3767562,249770.2338,267,0.001068982,148,0.000592545,0.0029917,0.855151454,0.10862587,0.033230975,0.084871436,-0.153012667,-0.193720604,-0.045189183,-0.077048285,0.757636057,-0.309342955,0.313665797
Fairmount Park Horticulture Center,0,1,3,1,2,166,17,32.4092235,162976.525,11,6.75E-05,1,6.13585E-06,0.000445881,0.642394684,0.184310078,0.172849356,-0.072124215,0.031229584,-0.109709885,1.108223372,0.021125902,-0.165210905,0.108209381,0.638990967
Bartrams Garden,3,1,2,0,1,12,62,109.8067443,202449.3769,201,0.000992841,48,0.000237096,0.087690484,0.519957155,0.322946467,0.069405894,-0.05577577,0.131206559,-0.094164016,1.315056294,0.113872607,-0.094397505,-0.136202068,0.554689291
Wissinoming Park,6,0,0,0,0,42,170,370.2374101,172528.5465,266,0.001541774,72,0.000417322,0.000668516,0.530687508,0.347534118,0.121109858,-0.075060514,0.607545867,-0.113493359,0.34852002,-0.026942693,-0.120482009,-0.074243653,0.475487197
Fernhill Park,5,1,1,0,0,179,107,175.6465408,171530.2262,213,0.001241764,45,0.000262344,0,0.683429369,0.243583189,0.072987442,0.131973999,0.31038153,0.364247274,-0.126432568,-0.075761497,0.400216262,0.091373546,0.001047335
Roxborough Reservoir Park,0,0,0,0,0,12,23,52.89167179,150887.93,11,7.29E-05,3,1.98823E-05,0.057561137,0.751968509,0.128804396,0.061665957,-0.252274029,1.023730419,-0.036815641,0.139125378,-0.212695681,-0.206893535,-0.117150105,0.24094269
Manayunk Canal,0,0,0,0,0,65,178,141.5700365,136793.1031,174,0.001271994,11,8.04134E-05,0.068032936,0.505602313,0.003651151,0.4227136,-0.117941877,0.816581762,0.231958904,0.324192408,-0.102326592,-0.046741811,-0.229294274,0.338952286
Holme Crispin Park,1,0,0,0,0,27,42,90.84616248,128058.5408,25,0.000195223,6,4.68536E-05,0.001255032,0.772596925,0.158106395,0.068041648,-0.12822791,0.462980938,-0.12093954,-0.265459802,0.170876062,-0.211086352,-0.238765192,-0.298142043
Disston Park,3,0,0,0,1,70,207,304.7178469,95101.4,246,0.002586713,53,0.0005573,0.000300097,0.437350817,0.400521964,0.161827122,0.317220894,0.306331724,0.134692585,-0.251367609,-0.148350653,0.631152729,-0.189266909,-0.032549827
Jim Junod Recreation Center,7,0,0,0,0,5,14,36.67281829,95165.9027,10,0.00010508,10,0.00010508,0,0.100849738,0.730209428,0.168940834,-0.040564188,0.135685297,0.793997571,-0.021531181,-0.020497379,0.305715235,-0.209361052,-0.158046381
Michael Palmer Playground,6,0,0,0,0,58,66,111.3126272,300109.2633,52,0.00017327,4,1.33285E-05,0,0.700143591,0.241988516,0.057867893,0.430431309,0.362574393,1.186358023,-0.229813117,-0.151999626,0.461177984,-0.02561511,-0.213573511
29th and Chalmers Playground,5,0,1,0,0,46,66,197.9456685,60819.32658,282,0.004636684,136,0.002236131,0,0.055662682,0.576547435,0.367789883,-0.152621688,-0.004133538,0.605390154,-0.361566715,0.046008925,0.157115763,-0.090781798,0.041541517
Joseph E Mander Playground,7,0,0,0,0,41,82,223.5634697,90107.52753,200,0.00221957,111,0.001231862,0.000196048,0.192244502,0.660553562,0.147005888,-0.093677395,0.488786751,0.843006443,-0.396157086,0.3120912,-0.112942184,0.147714423,-0.393714395
Susan Gorgas Park,2,0,1,0,0,21,49,124.4011452,85479.95385,84,0.000982687,84,0.000982687,0,0.317654772,0.457499242,0.224845986,0.139113817,-0.02149854,0.477251287,-0.043112179,-0.188535991,0.357207941,0.003924304,0.188450704
Marconi Plaza,3,0,0,0,0,84,110,310.0041982,76267.98344,142,0.001861856,69,0.000904705,0.003721315,0.440786408,0.387084849,0.168407428,0.220229663,0.286296463,0.265656514,-0.094496373,-0.071242626,0.270761601,-0.007700603,-0.198033862
Fort Mifflin,0,1,0,0,0,0,0,0,163384.2321,0,0,0,0,0.17981315,0.387173573,0.241530826,0.191482451,-0.125321631,-0.321929814,-0.201544329,-0.153533985,0.358054458,-0.420840689,-0.152641848,-0.115382952
J Francis Finnegan Playground,8,0,0,0,0,29,141,369.6670443,71619.20032,294,0.004105044,167,0.002331777,0.003381297,0.128923683,0.624161327,0.243533693,1.43290532,0.349622636,0.997727397,-0.057592838,-0.314957556,-0.078854462,-0.078021186,-0.224606322
Lawncrest Recreation Center,7,0,0,0,0,33,128,390.3803679,60048.62751,203,0.003380594,137,0.002281484,0,0.148592075,0.515821204,0.335586721,0.197981091,0.334570914,0.268951953,-0.185628301,-0.212770473,0.258628253,0.386440434,-0.29657662
Pastorius Park,0,0,1,0,0,6,34,95.54320932,66616.26147,14,0.000210159,3,4.5034E-05,0.017873595,0.831957215,0.145567685,0.004601505,-0.095629573,-0.053754951,0.341976831,0.391058256,-0.060650483,0.081735138,0.26204077,0.440249769
Joseph F Vogt Playground,8,0,0,1,0,18,163,478.9171826,64069.55442,214,0.00334012,52,0.000811618,0,0.023126624,0.59257245,0.384300925,0.168797605,0.352310864,0.573265426,-0.137335325,-0.215496112,0.526147472,-0.097167853,-0.379961585
American Legion Playground,6,0,0,0,0,404,159,475.5771786,63623.90238,217,0.003410668,95,0.00149315,0,0.0184591,0.785164998,0.196375902,0.56040618,0.410449361,0.630045731,-0.242658654,-0.062172907,1.027177736,-0.048024722,-0.360928887
George Jacobs Playground,7,0,0,0,0,22,17,50.76196263,59445.55723,14,0.00023551,0,0,0,0.180013494,0.577058831,0.242927675,0.504889985,0.540117861,1.057300155,-0.227280415,-0.01223272,0.211118317,0.081680357,-0.246887257
Fox Chase Recreation Center,8,0,0,0,0,39,48,139.8298368,66243.97585,42,0.00063402,37,0.000558541,0,0.257062936,0.477884962,0.265052102,0.446212594,0.207877319,0.687944601,-0.292166169,0.121205215,0.086713095,-0.193436984,-0.498466286
William B Simons Recreation Center,5,0,0,0,0,21,86,269.6973505,53097.09955,194,0.003653684,105,0.001977509,0,0.030350116,0.522077319,0.447572565,-0.037719191,0.951331986,0.027010639,-0.101616904,-0.175941784,-0.134445875,-0.287152891,-0.493897021
Olney Recreation Center,6,0,0,0,0,27,122,375.9646784,55124.38924,219,0.003972833,36,0.000653068,0.002324813,0.158875193,0.582369374,0.256430621,0.520393842,0.659304445,0.462160115,-0.10971827,-0.149201565,0.037140935,-0.205925978,-0.357753987
Max Myers Playground,7,0,0,0,1,88,151,480.4146886,50061.22555,221,0.004414594,111,0.002217285,0,0.13602462,0.473785005,0.390190375,0.277787535,0.311589417,0.459996726,-0.231202855,-0.173355685,0.174195191,0.073500215,-0.281000068
Corporal Jimmy OConnor Memorial Playground,5,0,0,0,0,24,48,122.0242048,55603.6885,44,0.000791314,32,0.000575501,0,0.204487809,0.492623719,0.302888473,0.629618816,0.154278881,1.329572619,-0.20637698,-0.271673079,1.015096188,-0.121618473,-0.21742667
Gustine Recreation Center,3,0,0,0,0,69,16,49.59724395,49062.78692,9,0.000183438,2,4.07641E-05,3.39E-05,0.154870355,0.13833227,0.706763488,0.542909696,0.63570024,0.054480545,-0.083821847,-0.327102111,0.863073119,-0.375932078,-0.572802295
Clarence H Clark Park,2,0,1,1,0,64,114,321.8187281,48699.97823,99,0.002032855,23,0.000472279,0.003041286,0.717309728,0.146445479,0.133203507,0.113673549,0.083526254,0.093290162,-0.005198254,-0.160895395,-0.001200088,0.008083426,0.045888053
William A Lackman Memorial Playground,6,0,0,1,0,12,17,56.56685016,46303.69665,13,0.000280755,2,4.31931E-05,0,0.215292094,0.564205251,0.220502655,0.299125245,0.328712568,1.125395385,-0.193911117,0.050844752,0.496753445,0.005823804,-0.259997652
William (Billy) Gambrel Playground,5,0,0,0,0,43,209,682.1190672,46720.18382,528,0.011301325,180,0.003852725,0,0.124445281,0.640311013,0.235243706,0.096675162,0.4313145,0.264319028,-0.264091969,-0.217340407,0.124775472,-0.263934806,-0.206839307
Carmella A DiTizio Playground,6,0,0,0,0,60,133,451.5887185,45256.82848,293,0.006474161,85,0.00187817,0,0.10321129,0.712219127,0.184569583,0.397797863,0.188584016,0.439952073,-0.150734889,-0.104242984,0.182569684,-0.01693447,-0.273943923
Joseph A Ferko Playground,5,0,0,0,0,24,104,290.4470665,42617.30039,127,0.00298001,34,0.000797798,0.001105328,0.375687985,0.353965039,0.269241647,0.358285832,-0.206099358,0.683651537,-0.142814016,-0.306822718,-0.171825675,0.592223856,-0.342542259
Germany Hill,0,0,0,0,0,13,40,125.5975479,43814.82749,25,0.000570583,6,0.00013694,0.000564422,0.985432549,0.00989872,0.004104309,-0.011726564,-0.185507089,0.040468732,0.143929134,0.159593169,0.036874079,0.126602656,-0.32748187
Thomas E Jardel Memorial Field,7,0,0,0,0,47,76,257.5887663,43623.83059,101,0.002315248,50,0.001146163,0,0.088529062,0.545218087,0.36625285,0.092507176,0.436581487,0.669940759,-0.265030332,-0.036802872,0.043577547,0.029573682,-0.237956651
Stenton Park,5,0,0,0,0,48,104,317.9608944,46653.59189,417,0.008938219,354,0.00758784,0.000573137,0.320353622,0.530031018,0.149042224,0.197042833,0.067215861,0.120167145,-0.180416319,-0.033171522,0.1806578,-0.304208659,-0.258358225
Thomas Holme School Playground,5,0,0,0,0,44,43,142.8457229,40985.5898,34,0.00082956,5,0.000121994,0,0.029047845,0.816569457,0.154382697,-0.032733833,0.253825445,1.102927015,-0.17646773,-0.190998785,0.981360315,0.061002886,-0.339490294
Water Tower Recreation Center,6,0,0,0,0,6,41,133.5494731,38645.92639,26,0.000672775,2,5.17519E-05,0,0.510752293,0.251490909,0.237756798,0.133123912,0.328089996,0.848345895,-0.136851583,0.037231102,0.252464557,-0.200597292,-0.441346673
James J Ramp Playground,6,0,0,0,0,15,29,98.40086428,36599.85736,34,0.000928965,8,0.00021858,0.000211979,0.085168439,0.680995471,0.233624111,0.071254611,0.635146264,1.000123493,0.140070154,0.119428006,0.157337133,-0.138648055,-0.157290974
Elizabeth M Picariello Playground,5,0,1,0,0,10,42,143.9712889,38190.99785,56,0.001466314,11,0.000288026,0.004501865,0.052698308,0.568588152,0.374211675,0.533489223,0.075204186,0.973746281,-0.222666528,-0.263928803,0.308805196,-0.076879222,-0.412815001
Reyburn Park,5,0,0,0,0,84,150,488.0846032,29352.25012,342,0.011651577,177,0.006030202,0.001779494,0.311963674,0.57078326,0.115473572,-0.461347897,0.839398734,0.806533886,-0.405673345,-0.285840808,0.215898257,0.097243032,0.627338052
Ronald Trumbette Playground,4,0,0,0,0,16,21,74.93897904,34269.73199,16,0.000466884,1,2.91803E-05,0.002445823,0.221464219,0.622987502,0.153102456,0.710328987,0.274666857,0.604145143,0.197933867,1.200302415,0.355389446,0.6679664,-0.412492203
Seymour Tarken Recreation Center,7,0,0,0,0,52,103,365.3519207,35996.27762,172,0.004778272,79,0.002194671,0,0.149745299,0.510833691,0.33942101,0.146281546,0.306538521,0.537350537,-0.215328884,-0.135103167,0.177005855,-0.037800673,-0.325094351
33rd and Oxford Driving Range,1,0,1,0,0,23,16,58.42343874,36387.54221,26,0.00071453,7,0.000192374,0,0.140304384,0.842001455,0.017694162,0.413240423,-0.056091298,-0.053831481,-0.401093121,0.666409286,0.067584958,-0.207681374,-0.240903402
Edward Houseman Playground,6,0,0,0,0,60,84,286.0514086,35066.83432,158,0.004505682,87,0.002480977,0,0.157043748,0.520726085,0.322230168,0.420893501,0.521267142,0.382671659,-0.236912221,-0.167358737,0.216062426,-0.028478379,-0.297843312
Samuel F Houston Playground,8,0,0,0,0,0,1,3.820947988,25096.37474,9,0.000358618,0,0,0,0.274527989,0.441374075,0.284097935,0.252630692,0.652027335,1.253152646,-0.046044172,0.362401554,0.38327732,-0.049847996,-0.11276525
Vernon Park,2,1,0,0,0,72,249,866.587134,34295.01285,349,0.010176407,512,0.014929284,0.00033732,0.62218959,0.204203774,0.173269317,0.225252631,-0.038943795,0.091625987,-0.187947546,-0.127477104,0.26472394,0.010062231,0.007197699
Haddington-Marshall L Shepard Sr Recreation Center,6,0,1,0,0,50,133,488.3405824,33243.24984,427,0.012844713,538,0.016183737,0,0.122540031,0.461594885,0.415865084,0.166835275,0.497501531,0.712544406,-0.169180298,-0.221184953,-0.009388181,-0.129585612,-0.290380426
Penn Treaty Park,1,0,0,0,0,145,58,209.021668,34480.32658,28,0.000812057,3,8.70061E-05,0.016669513,0.383115487,0.471018235,0.129196765,0.078734703,0.03181772,0.153622157,0.34023707,-0.125350536,0.083655018,-0.122939944,0.445373838
W Freeland Kendrick Recreation Center,7,0,0,0,0,28,65,242.3990581,32436.24436,52,0.001603145,18,0.000554935,0,0.200762009,0.372632604,0.426605387,0.330634726,0.751192628,0.701110961,-0.233554761,0.067726433,0.040500538,-0.183329414,-0.467181161
Bridesburg Recreation Center,6,0,0,0,0,14,56,207.9777896,32305.156,56,0.001733469,11,0.000340503,0,0.099004593,0.601689318,0.299306089,0.292188941,0.019300735,0.415644036,-0.235207366,0.29158246,0.380847482,0.065520798,-0.368939151
Francis J Myers Recreation Center,6,0,0,0,0,65,166,619.452857,30857.61644,523,0.016948814,520,0.016851593,0,0.169473066,0.44726047,0.383266464,0.221638011,0.319459535,0.41513251,-0.156216584,-0.084410012,0.184803712,-0.026449855,-0.365242694
Thomas B Smith Recreation Center,5,0,0,0,0,99,100,360.2164464,30718.72262,280,0.009114962,194,0.006315367,0.004686681,0.222013213,0.46851937,0.304780735,0.173724997,0.273411356,0.590500794,-0.12835489,-0.317213229,0.082864952,-0.155307019,-0.103420081
Rittenhouse Square,0,1,0,0,1,67,615,2374.975992,29598.33692,214,0.007230136,166,0.005608423,0.012865492,0.702092603,0.117153911,0.167887995,0.114093257,-0.034981245,0.13600645,0.093142576,-0.146966482,-0.084901889,-0.055683139,0.388579962
Samuel Rose Recreation Center,5,0,0,0,0,32,38,141.541394,29810.74515,79,0.002650051,46,0.001543068,0,0.430772448,0.400118516,0.169109035,-0.080972623,0.080963522,0.281093219,-0.243256758,-0.29764878,0.51605322,-0.240005882,-0.285560755
Loudoun Park,0,1,0,0,0,65,109,383.8794979,31031.40795,248,0.007991903,91,0.002932513,0.001924279,0.717242611,0.20137289,0.07946022,0.761726313,0.697336596,-0.158216537,0.224846328,0.253921417,-0.323630763,-0.231311746,0.392496398
Harry S McDevitt Playground,5,0,0,0,0,48,18,69.42559299,25306.54934,31,0.001224979,4,0.000158062,0,0.328808446,0.290745197,0.380446357,0.577262378,0.654425616,1.004385817,-0.1988486,0.211907328,-0.089113799,-0.179823035,-0.049446972
