PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
Charles Seger Park,5,0,0,0,0,39,193,962.8124771,7734.783429,124,0.016031477,32,0.004137155,0,0.510810762,0.043834193,0.445355044,0.336375142,0.506470964,0.816138567,-0.29073661,-0.060752439,0.198664598,0.157934568,-0.271313125
Venice Island Performing Arts and Recreation Center,3,0,0,0,0,26,87,459.5499649,19599.92799,88,0.004489812,3,0.000153062,0,0.487989707,0.049204027,0.462806266,-0.14200529,-0.142489514,0.104950943,-0.129494804,0.163979539,0.343431481,-0.01948087,0.070797865
Hancock Playground,6,0,0,0,0,9,63,319.1387274,7217.258953,53,0.007343508,8,0.001108454,0,0.221604761,0.333102985,0.445292255,0.220917749,0.549533035,1.120287977,-0.079134047,0.099744592,0.295519816,-0.008081823,-0.323758358
Howard Sayre Morris Recreation Center,3,0,0,0,0,50,74,381.2803144,6498.848306,334,0.051393722,289,0.044469418,0,0.063424722,0,0.936575278,-0.011752197,0.364389945,0.183368775,-0.368188465,0.266599289,0.449207601,-0.145749984,-0.378833082
Reverend Edward P Burke Playground,4,0,0,0,0,66,81,443.3561861,4948.8866,121,0.024449944,24,0.004849576,0,0.141599238,0.027003948,0.831396814,0.460000729,0.143217518,0.708081716,-0.199133616,-0.23580133,0.974410453,0.119780228,-0.217986295
Sherwood Park,1,0,0,0,0,46,125,609.3580506,6667.019701,359,0.053847149,181,0.027148562,0,0.602005403,0.117809643,0.280184954,0.133582537,0.182465971,0.20517231,-0.204117078,-0.107854192,0.383956865,-0.188709616,-0.200407598
Norman (Butch) Ellis Playground,4,0,0,0,0,20,78,403.3562661,5988.504052,265,0.044251452,258,0.043082546,0,0.077925083,0.001284098,0.920790819,0.16600768,-0.21548131,0.819224988,-0.271177639,-0.002800836,0.490086941,-0.323979631,-0.324860866
Michael J Towey Playground,4,0,0,0,0,22,108,579.0954238,5875.951325,157,0.026719078,57,0.009700557,0,0.162888032,0.079899551,0.757212417,-0.012363514,0.772344878,0.892070851,-0.1952785,-0.136365023,0.298307441,-0.073716778,-0.23537636
Shot Tower Recreation Center,3,0,0,0,0,75,73,388.184476,5820.029426,31,0.005326434,7,0.001202743,0,0.132954031,0.332385079,0.53466089,0.400205579,0.43968702,0.851167198,-0.312304808,0.020134872,0.334108206,0.286487198,-0.099916677
Marian Winfield Hissey Recreation Center,4,0,0,0,0,31,149,799.2121047,5832.37158,443,0.07595538,2792,0.478707497,0,0.411872298,0.396645921,0.191481781,1.530144942,0.221639948,0.367807823,-0.255505277,0.084900074,0.632165921,-0.090899032,-0.261664189
Jerome Brown Playground,3,0,0,0,0,17,65,319.780879,5596.830447,235,0.041988051,84,0.015008495,0,0.368693995,0.207312243,0.423993762,0.308123007,0.085740624,0.389404889,-0.121378026,-0.126452405,0.391707512,-0.21745598,-0.189714601
Inn Yard Park,2,0,0,0,0,23,33,173.4268427,5739.663116,45,0.007840181,13,0.002264941,0,0.375190075,0.386413555,0.23839637,-0.280283045,-0.166687823,0.50731004,-0.058519594,0.003963456,-0.022367469,0.142042645,-0.287085886
Lovett Park,0,0,0,0,0,11,28,150.780891,4962.751425,30,0.006045034,4,0.000806005,0,0.69569951,0.116284913,0.188015577,-0.128646562,-0.205781556,0.012728319,-0.291770507,-0.361062206,-0.102584403,-0.295710243,-0.309088723
Kelly Pool,1,0,0,0,0,6,6,32.58905363,5375.932634,1,0.000186014,0,0,0,0.090502635,0.500547603,0.408949762,-0.141736208,0.083895413,-0.08348172,0.67108594,0.313444458,-0.102254742,-0.095778834,0.743739239
20th and Tioga Field,1,0,0,0,0,13,73,402.4144221,4836.957696,185,0.038247182,63,0.013024716,0,0.031638046,0.677389324,0.29097263,0.068593802,0.580458239,-0.128362623,0.032786313,-0.283663546,-0.039611445,-0.433297802,0.156323552
Nelson M Herron Playground and Recreation Center,3,0,0,0,0,18,69,383.6225636,4531.908829,51,0.011253536,13,0.002868548,0,0.080728251,0.061161472,0.858110277,-0.019215842,0.064649494,0.593105648,-0.268216185,-0.218843503,0.235040606,0.061817468,-0.251393359
Black Coyle and McBride Playground,4,0,0,0,0,25,148,771.4597112,4321.400844,157,0.036330812,69,0.015967045,0,0.186316785,0.004039562,0.809643653,0.169427703,0.054465618,0.006592965,-0.31965653,-0.259591698,0.466176863,-0.16759379,-0.412344456
Fairview Park,0,0,0,0,0,15,39,220.4553072,4090.871424,19,0.004644487,14,0.003422254,0,0.600403,0.000609581,0.398987419,-0.069589964,1.081617994,0.627514006,-0.033190284,-0.20850844,0.252901312,0.748302009,0.58020113
Hawthorne Cultural Center,4,0,0,0,0,38,90,489.473778,4137.457662,72,0.017401991,66,0.015951825,0,0.085989821,0,0.914010179,-0.128392356,0.236952586,0.432517396,-0.257062505,-0.150915844,-0.197958773,-0.156150364,0.182233998
Konrad Square,0,0,0,0,0,24,109,616.5591106,4111.94225,92,0.022373855,31,0.007539016,0,0.537659406,0.184683546,0.277657048,0.17390348,-0.011448699,0.025598332,-0.355416704,-0.216377883,0.246280921,-0.110301075,0.07083086
Ridgway Park,1,0,0,0,0,46,130,716.4590645,4109.621942,122,0.029686429,85,0.020683168,0,0.583581964,0.034184576,0.38223346,-0.124597978,-0.205949796,-0.258449151,-0.133178382,-0.36120997,-0.016893445,-0.29773495,-0.374626405
Ann P Nichols Park,1,0,1,0,0,16,73,419.4611296,3583.935274,351,0.097937037,379,0.105749678,0,0.379955543,0.282574659,0.337469798,-0.203337888,-0.464552998,0.776717652,-0.08221782,-0.229736083,1.378284478,-0.561238387,-0.357538758
Weccacoe Square,3,0,0,0,0,21,96,552.3095648,3657.317067,110,0.030076692,89,0.024334778,0,0.460489431,0.019698462,0.519812107,0.295906804,0.722281269,1.504686995,-0.299203469,-0.002964844,0.361950304,-0.156949787,-0.116383687
Colonel Thomas J Powers Park,0,0,0,0,0,13,75,429.9258956,3634.285334,88,0.024213839,15,0.004127359,0.003411863,0.526208448,0.182391735,0.287987954,0.639795466,0.202281423,0.215773103,0.262821438,-0.322947172,0.608869672,-0.204984841,0.141018133
Gold Star Park,2,0,0,0,0,19,81,467.3112088,3573.158566,87,0.024348206,25,0.006996611,0,0.785557817,0.065891247,0.148550935,-0.029342745,0.018442782,0.277349374,0.10200513,-0.158244416,0.18517234,0.117090073,-0.134499433
Thomas P Stokley Recreation Center,5,0,0,0,0,15,80,465.410722,3409.008536,101,0.029627383,14,0.004106766,0,0,0,1,0.06158989,0.216137524,1.122550328,-0.199990948,-0.036168452,0.386745721,-0.104503798,-0.379963436
Waterloo Playground,4,0,0,0,0,53,65,336.1741786,4199.603429,212,0.050480957,149,0.035479541,0,0.136455103,0.002325658,0.861219239,0.015395349,-0.205751208,0.304399239,-0.268534969,0.651221533,0.242594326,-0.192449819,-0.337350402
Palmer Park,0,0,0,0,0,22,66,387.1944492,3301.051787,41,0.012420284,10,0.003029338,0,0.69533644,0.229652017,0.075011543,0.216199658,0.352731484,0.147503216,0.299763061,-0.132817161,0.152507195,-0.112971721,-0.07356935
Trenton and Auburn Playground,3,0,0,0,0,9,83,474.9160014,3270.688925,180,0.055034277,132,0.04035847,0,0.199580633,0.031452535,0.768966832,-0.00255231,0.837413509,1.352876264,-0.35554748,-0.241333355,-0.248051493,-0.189620465,-0.290916975
James Otis Ford Playground,4,0,0,0,0,41,97,557.8037933,3237.190273,255,0.078772015,373,0.115223378,0,0.152868423,0.014015792,0.833115785,-0.036907948,-0.087158112,0.006397987,-0.340484064,0.301957696,0.188817817,-0.195292423,-0.293559478
Ben Barkan Park,1,0,0,0,0,23,81,470.3847599,3160.917483,146,0.046189121,40,0.012654554,0,0.797492768,0.049443324,0.153063908,0.571264401,0.031160887,0.677600417,0.137608222,-0.192141865,0.209469026,-0.116644468,-0.055283768
Charles A Baker Playground,4,0,1,0,0,22,73,419.9064069,3072.028082,284,0.092447072,213,0.069335304,0,0.238421646,0,0.761578354,2.217336061,0.815131047,0.268497204,-0.29434197,-0.284560728,0.683411518,-0.246679096,-0.262009262
8th and Diamond Playground,3,0,0,0,0,18,74,430.2748064,2933.774233,193,0.065785567,96,0.032722354,0,0.118852556,0,0.881147444,0.136584693,0.041558828,0.542362537,-0.32198522,-0.26390821,-0.131558069,-0.258298554,-0.324257868
Frank S Nelson Jr Memorial Recreation Center,3,0,0,0,0,23,70,408.2566287,2916.515386,173,0.059317362,271,0.092919105,0,0.156967077,0.000570098,0.842462825,0.81245898,-0.379293571,0.614471644,-0.42206162,-0.221883271,0.113573737,-0.23831517,-0.231685055
Fitler Square,0,0,0,1,0,28,81,475.0862225,2913.859028,31,0.010638813,11,0.003775063,0,0.748502282,0.033044884,0.218452834,-0.173878648,-0.068720629,0.166587298,0.124536797,-0.286556259,0.109484663,-0.196571264,0.346550378
Veterans Memorial Recreation Center of the Nineteenth Ward,3,0,0,0,0,33,65,383.0851178,2660.734774,284,0.106737433,296,0.111247466,0,0.234234234,0.00390564,0.761860126,-0.262865461,0.509983413,0.529189809,-0.11547051,-0.255509418,-0.189702205,-0.75148574,-0.348601266
Frank Glavin Playground,3,0,0,0,0,14,83,501.2614129,2544.510411,66,0.025938192,13,0.005109038,0,0.056490254,0,0.943509746,0.188450943,-0.159841906,0.825423722,-0.293206821,-0.267396888,1.09177712,-0.04831278,-0.487220687
Triangle Park,0,0,1,0,0,11,37,212.8788139,2508.735805,110,0.043846785,94,0.037469071,0,0.202672852,0.752319417,0.045007731,-0.142641058,0.310082306,-0.214026993,-0.232854919,0.3082151,0.061175385,-0.181525483,-0.077865816
Cianfrani Park,0,0,0,0,0,16,115,687.2814864,2463.622421,64,0.025978007,16,0.006494502,0,0.547149123,0.101073999,0.351776878,0.530794156,0.07444246,0.524325004,-0.218738805,0.021231815,0.034719061,0.171507135,0.110577263
Clayborne and Lewis Playground,3,0,0,0,0,37,23,139.6051708,2390.387448,88,0.036814116,14,0.005856791,0,0.271402075,0,0.728597925,0.023081843,-0.104446317,-0.144078193,-0.559860874,-0.306209406,-0.028411461,-0.346996203,-0.603431258
Mario Lanza Park,1,0,0,0,0,14,79,478.5736588,2051.435242,49,0.023885716,21,0.010236736,0,0.908823827,0.019146996,0.072029176,-0.312833508,0.458434643,0.489197657,0.328501581,0.233890076,0.18482826,0.040543361,0.027519701
James L Wright Playground,2,0,0,0,0,61,86,511.1025688,2221.973363,195,0.087759828,94,0.042304738,0,0.118837507,0,0.881162493,-0.074721482,-0.044092921,-0.189546095,-0.273810756,-0.204933095,-0.191943381,0.384961879,-0.545912432
Emanuel Weinberg Park,0,0,0,0,0,33,104,633.1358339,1706.034204,242,0.141849442,377,0.220980329,0,0.614225975,0.030977224,0.354796801,0.520296817,-0.240619544,0.015933739,0.521006655,-0.26723822,0.239356219,0.055209037,-0.329476469
Wissahickon Neighbors Playground,3,0,0,0,0,4,33,209.626639,1602.527584,13,0.008112185,2,0.001248028,0,0.278162013,0,0.721837987,0.033799842,0.62311366,1.744696449,-0.218301275,0.272020903,-0.301960028,-0.152501078,-0.478497466
Louis I Kahn Park,0,0,0,0,0,28,123,753.297668,1571.474773,111,0.070634287,51,0.032453591,0,0.88070887,0.008860871,0.110430259,0.356117477,-0.455209522,-0.184974086,0.853417984,-0.041014656,-0.15679003,1.848089022,0.354332173
John (Steve) Schmidt Playground,3,0,0,0,0,30,95,601.8370839,1483.570701,318,0.214347722,383,0.258160935,0,0,0,1,1.284751697,0.067565344,0.194494048,-0.270788872,0.143280838,0.575609821,-0.173449999,-0.06594743
OConnor Pool,1,0,0,0,0,27,31,198.0728951,1512.100983,15,0.009919972,3,0.001983994,0,0.033988365,0,0.966011635,0.000376803,-0.094181185,0.067303229,-0.176778423,0.564414045,0.804185242,-0.097647118,-0.226948907
Delancey Park,1,0,0,0,0,25,68,351.3301576,2371.070086,32,0.013496016,11,0.004639256,0,0.459510798,0.363248488,0.177240714,0.235581396,-0.221835595,0.62025812,-0.043375561,-0.166063093,0.209859122,-0.076081176,-0.082946116
Edward Shippen Plaza (Bainbridge Green),0,0,0,0,0,28,226,986.8304929,1409.919792,193,0.136887219,97,0.06879824,0,0.43654224,0,0.56345776,-0.300025889,-0.188088751,0.087000679,0.343178145,-0.111459363,-0.220408851,-0.220470751,0.330327806
Julian Abele Park,0,0,0,0,0,22,87,565.9579468,1157.612356,67,0.057877751,67,0.057877751,0.025789852,0.159885112,0.426041168,0.388283868,-0.061826118,0.142603961,0.514700934,0.16031775,0.024427061,0.130200845,0.033809031,-0.196291544
Ralph Brooks Park,3,0,0,0,0,20,104,677.3749887,1155.121757,230,0.199113209,279,0.24153298,0,0.011513552,0,0.988486448,0.165199445,1.221910813,0.119532511,-0.031928467,-0.386982871,-0.039230797,-0.353474252,-0.207162379
Mummers Museum,0,1,0,0,0,92,44,288.8248942,1011.587241,41,0.040530365,10,0.009885455,0,0.069990412,0,0.930009588,-0.244487318,-0.461100834,-0.037951265,-0.234848905,-0.196185213,-0.26901551,-0.154551758,-0.447908524
Ned Wolf Park,0,0,0,1,0,1,18,117.4750699,998.8461471,4,0.004004621,2,0.00200231,0,0.756190608,0.078865229,0.164944163,-0.124252986,-0.06881153,0.533669069,0.462371423,-0.163975437,0.150307314,-0.395788299,0.408541585
Betsy Ross House,0,1,0,0,0,25,87,576.4799997,955.8242212,24,0.025109219,10,0.010462175,0,0.823316175,0,0.176683825,-0.186450168,-0.375135032,-0.298694181,-0.429145866,-0.029013833,-0.396911736,-0.134035026,-0.420016239
Giuseppe Bardascino Park,0,0,0,0,0,28,80,533.8144852,945.0124277,56,0.05925848,19,0.020105556,0,0.605305584,0,0.394694416,0.14670426,0.049423034,0.386940383,-0.145927849,-0.232795791,-0.11635771,-0.080305145,0.004747179
Thomas Hart Park,2,0,0,0,0,32,38,249.1439839,872.2381895,41,0.047005509,5,0.005732379,0,0.269328465,0.026591522,0.704080013,0.898999309,-0.190286167,1.183208946,-0.112203749,0.328550043,-0.223517098,-0.142532607,0.093797877
I-95 Park,0,0,0,0,2,350,381,459.7286036,52906.98762,259,0.004895384,119,0.00224923,0,0.4321379,0.086499332,0.481362767,-0.226553669,0.085228756,-0.275455381,0.09837484,-0.19320035,-0.168878171,-0.482628746,0.137050178
General Casimir Pulaski Park,1,0,0,0,0,8,4,16.52957501,7811.490082,4,0.000512066,2,0.000256033,0.19254372,0.234268029,0.140248661,0.432939591,0.094253249,-0.101016657,-0.06081029,0.284773051,-0.112999973,0.091029804,-0.151208763,0.301399314
Cecil B Moore Recreation Center,4,0,0,0,0,54,144,675.5102077,8652.461988,291,0.033632046,203,0.02346153,0,0.251711246,0.030550241,0.717738514,0.032931991,0.211038496,0.218708831,-0.409299786,-0.267842666,-0.167005981,0.07863685,-0.238104022
Shofuso Japanese Garden,0,1,1,1,0,14,2,11.25389687,4376.805919,2,0.000456954,0,0,0.016609402,0.672989534,0.041753092,0.268647973,-0.143948342,-0.196455683,-0.244172687,1.24585324,0.178098675,-0.165010751,0.027515647,0.907601624
Paines Park,0,0,0,0,0,210,21,92.18767834,11434.33021,13,0.001136927,14,0.001224383,0.006482766,0.349269629,0.568974814,0.075272791,0.140310351,-0.137311608,-0.043062904,0.034327983,-0.038417721,-0.253655376,-0.2260941,-0.123341932
Ingersoll Park,0,0,0,0,0,28,118,672.560931,3128.540985,158,0.050502775,112,0.035799435,0,0.282497509,0.255064763,0.462437728,-0.120458148,-0.205792099,0.625921811,0.738087198,-0.263690864,-0.085500776,0.849800595,0.40480379
Glen Foerd on the Delaware,0,1,0,0,0,6,5,22.14094075,92659.0047,9,9.71E-05,0,0,0.123118362,0.635670841,0.140822359,0.100388438,-0.169615578,0.014976807,-0.174635731,0.6745805,-0.118840167,-0.139708686,-0.195758744,1.382682298
Allens Lane Art Center,4,0,0,1,0,6,9,34.64505487,26606.75694,4,0.000150338,3,0.000112753,0.000497281,0.425781525,0.203197696,0.370523498,0.044044987,0.592529409,1.037053124,-0.223919156,-0.014472922,-0.385587663,-0.25526218,-0.532199415
Eric W (Hank) Gathers Jr Recreation Center,6,0,0,0,0,36,76,314.4621594,14939.00838,278,0.018609,96,0.006426129,0,0.249276626,0.335084579,0.415638795,-0.021025423,0.37285649,-0.051284536,-0.194124303,-0.273219472,0.062110306,-0.259652465,-0.468413939
Levy Park,0,0,0,0,0,83,248,1387.505569,2465.695951,225,0.091252127,362,0.146814533,0,0.456787349,0.060275819,0.482936831,-0.091098057,-0.141004658,-0.093591418,-0.261242167,-0.312941438,-0.439981942,-0.154911017,-1.282666793
Kingsessing Recreation Center,7,0,0,0,0,44,187,655.408035,37048.68392,412,0.011120503,150,0.004048727,0.002832792,0.197248358,0.415433202,0.384485647,0.276564951,0.503535307,0.430629656,-0.127760919,-0.007504062,0.022947412,-0.217545045,-0.319760294
William Lanier Park,3,0,0,0,0,24,117,513.7900316,16673.00796,324,0.019432606,309,0.018532949,0,0.044318026,0.6910911,0.264590874,0.677003548,0.285366249,0.188679333,-0.293370227,-0.143409354,0.598577499,-0.221463398,-0.315696476
Korean War Veterans Memorial,0,0,0,0,1,135,71,384.176574,5295.754747,32,0.006042576,23,0.004343101,0,0.258410946,0.128335601,0.613253453,-0.228437004,-0.35419688,-0.353954648,-0.195066064,-0.224330531,-0.357062465,-0.26368866,0.136237496
Northern Liberties Recreation Center,4,0,0,0,0,36,124,717.953816,2649.604695,69,0.026041621,14,0.005283807,0,0.050852332,0,0.949147668,-0.017757688,0.028859655,0.36420345,0.091022181,0.035132177,0.844862831,-0.153504951,-0.173285604
Aviator Park,0,0,0,0,0,187,81,401.0282122,7677.098798,47,0.006122104,36,0.004689271,0.030904758,0.467001228,0.101135461,0.400958553,1.464421476,-0.299796008,-0.237648392,0.873512735,-0.013234576,0.005863287,0.910430825,-0.166242108
Sister Cities Park,0,0,0,0,1,167,152,761.7063716,7041.2963,73,0.010367409,80,0.011361544,0.00422161,0.417604802,0.280751821,0.297421767,0.007058425,-0.051318532,0.257397612,0.06291887,0.020786815,-0.068837368,0.030929573,0.178397656
Cret Park,0,0,0,0,0,79,299,1583.583861,4562.462946,262,0.057425124,463,0.101480276,0.005725394,0.354063207,0.031193524,0.609017875,-0.036669672,-0.19455338,-0.072367871,-0.137475006,0.168786377,-0.114386303,-0.214262356,0.000585876
Tacony Boat Launch,0,0,0,0,0,0,0,0,15321.79754,0,0,0,0,0.198334441,0.225239277,0.195739352,0.38068693,0.383671721,0.103710263,-0.139657287,0.368709721,1.217140601,0.65146626,-0.126311158,-0.34225412
Carpenters Woods,0,0,0,0,0,12,33,60.58870721,170915.982,69,0.000403707,1,5.85083E-06,0,0.985546873,0.008317874,0.006135253,-0.137098009,0.579796575,-0.353933138,0.236101649,0.044249526,0.220007181,0.18616149,0.580201514
Officer Robert Hayes Memorial Playground Woods,0,0,0,0,0,25,126,359.9096191,77144.28119,12,0.000155553,0,0,0,0.968297724,0.018961563,0.012740712,0.700516786,0.212565399,1.211236425,-0.196580539,-0.008635034,0.351371012,0.054761019,-0.25222994
Officer Robert Hayes Memorial Playground,6,0,0,0,0,40,157,311.0477398,158783.1198,17,0.000107064,2,1.25958E-05,0,0.552702,0.3430082,0.1042898,-0.186389283,0.569868535,0.760940997,-0.243118871,0.282700752,-0.385942529,0.42108063,-0.303226743
Hope Park,0,0,0,0,0,41,133,717.5926827,4987.691698,582,0.116687244,4216,0.845280794,0,0.419505826,0.480576119,0.099918054,0.972019804,-0.059697798,-0.168536578,-0.240316584,-0.039599337,-0.051969765,-0.2199998,-0.228620077
Logan Square,0,0,0,0,1,215,259,764.0825611,37546.01809,109,0.002903104,123,0.00327598,0.007371782,0.315245163,0.159437855,0.517945199,-0.062451489,0.009230258,0.697242348,-0.125240317,-0.141409912,-0.122120148,-0.154513721,0.381402562
Philly Pumptrack,0,0,0,0,0,6,14,85.96078432,2144.149574,37,0.017256259,26,0.01212602,0.160338643,0.020551265,0.798074127,0.021035965,0.16334492,0.100652416,-0.185100999,-0.094145233,-0.275544949,-0.361721991,-0.041503964,-0.34602213
Glendinning Rock Garden,0,0,0,0,0,20,16,71.48588035,11274.59397,9,0.000798255,5,0.000443475,0.009267852,0.575467234,0.350955363,0.064309551,-0.080745717,0.081555943,-0.17322698,0.23318818,0.054362297,0.032980876,-0.038819975,0.481002679
Galusha Pennypacker Park,0,0,0,0,0,172,119,596.8120183,4588.810514,54,0.011767755,100,0.02179214,0.002156895,0.341166533,0.241677853,0.414998718,0.007058425,-0.051318532,0.257397612,0.06291887,0.020786815,-0.068837368,0.030929573,0.178397656
Cobbs Creek Park,11,2,2,1,1,624,713,304.5296074,3010129.48,1676,0.000556787,1026,0.000340849,0.001822265,0.624247674,0.320104279,0.053825783,0.068908379,0.34314421,0.211896543,0.049051756,-0.107180157,0.215496194,0.044398222,0.026002917
John A Lee Cultural Center,5,0,0,0,1,23,118,408.5981607,38828.78218,270,0.006953605,77,0.001983065,0.000654756,0.349818203,0.317843979,0.331683062,-0.123248068,-0.15518299,-0.091658925,-0.252073498,-0.312400532,-0.2123045,-0.613287307,-0.338367627
Burholme Park,5,1,2,0,0,8,31,122.2028764,274871.2174,17,6.18E-05,11,4.00187E-05,0.000133224,0.59884635,0.317167212,0.083853214,0.050715942,0.021242065,0.407986571,-0.045711341,0.010239822,0.391251643,-0.023934227,-0.067602261
Historic Rittenhouse Town,0,1,0,0,0,84,25,69.07177858,42780.7094,11,0.000257125,1,2.3375E-05,0.000867987,0.855556329,0.034304906,0.109270778,0.10382926,0.326061009,-0.19166871,0.474981111,0.063906081,-0.103185037,0.199191654,0.278751285
Belmont Grove,2,0,2,0,0,25,15,48.66615777,47597.0895,19,0.000399184,4,8.40388E-05,0.001029007,0.497403467,0.410472004,0.091095522,0.292123069,0.001375429,0.875830011,-0.295023277,0.589937539,0.501571352,-0.27294231,0.053138737
Mann Center for the Performing Arts,0,0,2,0,0,19,31,74.17897021,97150.84099,48,0.000494077,60,0.000617596,0.000216768,0.160451106,0.461802126,0.37753,0.043543801,-0.361554126,-0.119673352,-0.227160341,0.10731695,-0.067452491,-0.028633594,0.099885631
Blue Bell Park,1,0,1,0,0,5,6,18.03981286,33713.92017,6,0.000177968,2,5.93227E-05,0.000199301,0.475157283,0.383805696,0.14083772,-0.005439999,0.153115532,0.081353429,-0.031331645,0.071179714,-0.02812237,-0.083671105,0.124932292
Andorra Natural Area,0,2,0,0,0,23,15,24.244941,640035.6955,0,0,0,0,8.66E-06,0.942508459,0.05239212,0.005090762,-0.065339932,1.780118105,-0.267314319,1.803082693,-0.040005309,-0.160765226,0.034078532,0.924368757
Cobbs Creek Community Environmental Center,0,1,0,0,0,15,18,125.3155986,5871.092948,58,0.00987891,30,0.005109781,0,0.507143784,0.072051346,0.42080487,-0.142153734,0.472267242,0.130726157,0.56705555,-0.087097071,-0.441616949,0.36359299,-0.094842736
Brewerytown Garden,0,0,0,0,1,13,64,368.1261221,1929.362601,139,0.072044519,91,0.047165836,0,0.231443243,0.390383165,0.378173591,-0.020488687,0.220683258,0.015885388,1.259262461,-0.104255628,-0.249541278,0.24591211,0.262344277
Discovery Center at East Fairmount Reservoir,0,0,0,0,0,12,7,12.98883556,207172.5556,3,1.45E-05,2,9.65379E-06,0.702649951,0.27249305,0.012675612,0.012181388,-0.257049403,0.038398109,-0.29064998,0.601488911,0.160044743,-0.150309997,-0.427560676,0.65533761
Chamounix Aerial Adventure Course,0,0,0,0,0,17,4,10.61042224,68294.95343,5,7.32E-05,0,0,0,0.967362154,0.024666288,0.007971558,0.552128902,-0.14712792,-0.152038768,-0.200413179,0.003877855,-0.224518332,-0.13010088,-0.488338952
Bartrams Mile Trail Greenway,0,0,0,0,0,1,5,7.751210558,37300.02841,35,0.000938337,4,0.000107239,0.049816854,0.671535369,0.089226002,0.189421775,-0.264092339,-0.038561362,-0.245614227,1.217765318,-0.19807189,0.137939731,-0.506891089,1.121402073
Rail Park,0,0,0,0,0,60,188,756.6849008,3529.316949,123,0.034850936,57,0.016150434,0,0.342976099,0.057876235,0.599147666,-0.206419361,0.109467031,0.084502294,0.043351661,0.106335808,-0.127538165,0.075715481,0.481978957
Nicetown Park,1,0,0,0,0,49,136,463.6748179,11507.06507,599,0.052054976,448,0.038932603,0,0.42950192,0.203698576,0.366799504,0.487224831,0.227234149,0.344127726,-0.214189453,-0.021406725,0.725782559,-0.292343991,-0.164166868
